Criminal ID,Age,Gender,Crime Type,Crime Location,Time of Crime,Weapon Used,Prior Offenses,Modus Operandi,Associated Gang,Psychological Profile,Footprint/Fingerprint Match,Escape Method,Conviction Status,Sentence Duration
1,36-50,Female,Kidnapping,City,Morning,Gun,No,Brute Force,Yes,Opportunistic,Yes,Vehicle,Acquitted,N/A
2,36-50,Female,Kidnapping,Metro,Evening,Gun,Yes,Social Engineering,No,Calculated,Yes,None,Under Trial,N/A
3,18-25,Female,Murder,Rural,Morning,Knife,Yes,Social Engineering,Yes,Calculated,No,Vehicle,Under Trial,N/A
4,26-35,Female,Drug Offense,City,Morning,Gun,No,Social Engineering,Yes,Manipulative,Yes,Fake Identity,Convicted,Short-term
5,26-35,Female,Cybercrime,Metro,Night,Digital Tools,No,Online Fraud,No,Calculated,No,Fake Identity,Acquitted,N/A
6,26-35,Male,Cybercrime,Rural,Night,None,No,Online Fraud,Yes,Calculated,No,Vehicle,Under Trial,N/A
7,51+,Other,Human Trafficking,Rural,Morning,Digital Tools,Yes,Breaking & Entering,No,Opportunistic,No,None,Convicted,Short-term
8,26-35,Other,Murder,Rural,Evening,Knife,Yes,Online Fraud,No,Manipulative,No,Fake Identity,Convicted,Long-term
9,26-35,Male,Human Trafficking,Rural,Night,Knife,No,Brute Force,Yes,Calculated,No,None,Convicted,Death
10,36-50,Female,Theft,Metro,Morning,Digital Tools,No,Social Engineering,No,Opportunistic,No,Vehicle,Convicted,Short-term
11,36-50,Female,Fraud,Rural,Night,None,No,Brute Force,Yes,Opportunistic,No,Vehicle,Under Trial,N/A
12,18-25,Other,Kidnapping,Metro,Evening,Digital Tools,No,Breaking & Entering,No,Aggressive,No,Vehicle,Under Trial,N/A
13,51+,Male,Fraud,Rural,Night,None,No,Brute Force,No,Aggressive,Yes,None,Under Trial,N/A
14,26-35,Male,Theft,City,Evening,Knife,No,Social Engineering,No,Manipulative,Yes,Running,Convicted,Short-term
15,26-35,Male,Human Trafficking,Metro,Morning,Digital Tools,Yes,Breaking & Entering,No,Opportunistic,Yes,None,Under Trial,N/A
16,26-35,Male,Cybercrime,Rural,Evening,Gun,No,Brute Force,No,Manipulative,No,Running,Acquitted,N/A
17,26-35,Male,Fraud,City,Evening,Digital Tools,No,Breaking & Entering,No,Aggressive,No,Fake Identity,Under Trial,N/A
18,51+,Other,Drug Offense,City,Morning,None,Yes,Extortion,No,Aggressive,Yes,Running,Acquitted,N/A
19,51+,Other,Drug Offense,Rural,Night,Gun,Yes,Breaking & Entering,Yes,Opportunistic,No,Vehicle,Acquitted,N/A
20,36-50,Female,Kidnapping,City,Night,Digital Tools,Yes,Breaking & Entering,No,Opportunistic,Yes,Running,Convicted,Life
21,51+,Other,Murder,Rural,Evening,Knife,Yes,Online Fraud,Yes,Aggressive,Yes,Vehicle,Acquitted,N/A
22,26-35,Female,Kidnapping,Metro,Evening,Digital Tools,Yes,Breaking & Entering,Yes,Aggressive,Yes,Fake Identity,Under Trial,N/A
23,51+,Female,Theft,Metro,Night,Gun,Yes,Online Fraud,Yes,Calculated,No,None,Acquitted,N/A
