Criminal ID,Age,Gender,Crime Type,Crime Location,Time of Crime,Weapon Used,Prior Offenses,Modus Operandi,Associated Gang,Psychological Profile,Footprint/Fingerprint Match,Escape Method,Conviction Status,Sentence Duration,Education Level,Job Status,Geographical Factor
1,18-25,Female,Human Trafficking,Rural,Morning,Knife,Yes,Online Fraud,Yes,Calculated,No,Vehicle,Acquitted,N/A,Graduate,Employed,Rural
2,51+,Other,Theft,Rural,Evening,None,Yes,Brute Force,No,Opportunistic,Yes,Fake Identity,Acquitted,N/A,Undergraduate,Student,Urban
3,51+,Male,Cybercrime,Metro,Night,Digital Tools,Yes,Online Fraud,No,Aggressive,Yes,Vehicle,Convicted,Death,High School,Self-Employed,Suburban
4,26-35,Female,Fraud,Metro,Night,Knife,Yes,Social Engineering,Yes,Aggressive,No,Fake Identity,Convicted,Death,Graduate,Unemployed,Rural
5,26-35,Female,Cybercrime,City,Night,Digital Tools,Yes,Social Engineering,Yes,Opportunistic,No,Vehicle,Under Trial,N/A,Graduate,Unemployed,Urban
6,51+,Female,Fraud,Rural,Morning,Gun,Yes,Online Fraud,Yes,Opportunistic,No,Vehicle,Acquitted,N/A,Postgraduate,Self-Employed,Rural
7,26-35,Female,Drug Offense,Metro,Evening,None,Yes,Online Fraud,Yes,Opportunistic,Yes,None,Under Trial,N/A,Graduate,Student,Rural
8,26-35,Other,Kidnapping,City,Night,Knife,Yes,Brute Force,No,Calculated,No,Running,Under Trial,N/A,Undergraduate,Self-Employed,Suburban
9,18-25,Other,Kidnapping,Metro,Evening,None,No,Breaking & Entering,Yes,Calculated,No,None,Acquitted,N/A,Postgraduate,Student,Suburban
10,26-35,Other,Human Trafficking,City,Night,None,Yes,Brute Force,Yes,Aggressive,Yes,Running,Acquitted,N/A,Postgraduate,Unemployed,Rural
11,36-50,Female,Kidnapping,Metro,Evening,Gun,No,Online Fraud,Yes,Manipulative,Yes,Vehicle,Convicted,Long-term,Graduate,Student,Suburban
12,51+,Male,Kidnapping,Rural,Night,Gun,No,Social Engineering,Yes,Manipulative,No,Running,Acquitted,N/A,Postgraduate,Unemployed,Rural
13,36-50,Female,Assault,Metro,Evening,None,No,Brute Force,Yes,Aggressive,Yes,Fake Identity,Convicted,Short-term,Graduate,Unemployed,Suburban
14,51+,Other,Human Trafficking,City,Evening,Gun,Yes,Social Engineering,Yes,Calculated,Yes,Fake Identity,Acquitted,N/A,Graduate,Employed,Suburban
15,36-50,Female,Human Trafficking,Metro,Night,None,No,Social Engineering,Yes,Aggressive,Yes,Running,Convicted,Short-term,Undergraduate,Student,Suburban
